PassengerId,Survived_pred,Survived_prob
892,0,0.12432878365178202
893,1,0.8100134681469989
894,0,0.15306933322923402
895,0,0.13991693680385572
896,0,0.4875848746527737
897,0,0.12575928250003524
898,1,0.7268875805919691
899,0,0.13158843593247282
900,1,0.8441163145934132
901,0,0.1342927238258254
902,0,0.12422851157296341
903,0,0.14076113385586372
904,1,0.9229131394875224
905,0,0.21270887704028998
906,1,0.9192668366737676
907,1,0.9068758279332483
908,0,0.12952795415789572
909,0,0.1840182906593158
910,0,0.4595224394191736
911,1,0.7972746798726759
912,0,0.35370688322345817
913,0,0.46382292735245495
914,1,0.9318849153939415
915,0,0.3780714339234287
916,1,0.9435388114729617
917,0,0.09495234234314652
918,1,0.9267082907860105
919,0,0.1840182906593158
920,0,0.3440790999460495
921,0,0.16005752509091078
922,0,0.12694499884413685
923,0,0.17273622323205973
924,1,0.56559950972085
925,0,0.21760430741752174
926,0,0.47421415479848383
927,0,0.1840182906593158
928,0,0.4634879551807444
929,0,0.44671518876958666
930,0,0.12575928250003524
931,0,0.3765193384480051
932,0,0.12953573773144075
933,0,0.2791791994858159
934,0,0.11735492066672709
935,1,0.9062663472218517
936,1,0.9479449165277419
937,0,0.12575928250003524
938,0,0.3034079800956735
939,0,0.14071880427392977
940,1,0.9473173481149207
941,1,0.5695158433069514
942,0,0.2949694794168493
943,0,0.16779992003780642
944,1,0.9017078220225611
945,1,0.8887093043249429
946,0,0.16221438766821192
947,0,0.11429944244514177
948,0,0.11735492066672709
949,0,0.12575928250003524
950,0,0.13267384524186118
951,1,0.946243223212777
952,0,0.12575928250003524
953,0,0.15248620032561697
954,0,0.12575928250003524
955,1,0.7132549167226654
956,0,0.27612212764449434
957,1,0.9204316515895234
958,1,0.5966797923537557
959,0,0.17066417521610536
960,0,0.3170383094934926
961,1,0.8490960744497756
962,1,0.5966797923537557
963,0,0.12575928250003524
964,0,0.4634879551807444
965,0,0.284670128494067
966,1,0.946243223212777
967,0,0.3353114406316674
968,0,0.12422851157296341
969,1,0.9466367346432293
970,0,0.12485677103539651
971,1,0.5966797923537557
972,1,0.8772772738411794
973,0,0.1921792384075714
974,0,0.15555277843467824
975,0,0.12422851157296341
976,0,0.14141699334155797
977,0,0.11465751471032389
978,1,0.6128464084561569
979,0,0.44671518876958666
980,1,0.6128464084561569
981,1,0.9174976527648657
982,1,0.6709664927209378
983,0,0.12422851157296341
984,1,0.9185295061538497
985,0,0.12422851157296341
986,0,0.22396250831613626
987,0,0.12575928250003524
988,1,0.9349152143248786
989,0,0.12422851157296341
990,0,0.44671518876958666
991,0,0.11735492066672709
992,1,0.9613252912322316
993,0,0.14924704846078854
994,0,0.14071880427392977
995,0,0.12575928250003524
996,1,0.6143672924859683
997,0,0.13452079649546053
998,0,0.14241972789305932
999,0,0.14071880427392977
1000,0,0.12422851157296341
1001,0,0.12639416622759228
1002,0,0.11206895517068553
1003,1,0.6128464084561569
1004,1,0.9439859621051772
1005,1,0.7842352281780355
1006,1,0.9542913891415313
1007,0,0.1418364046432702
1008,0,0.08748118431439746
1009,1,0.7715039453708635
1010,0,0.41262968538014705
1011,1,0.9192551570961704
1012,1,0.9031130430280649
1013,0,0.13880040273388558
1014,1,0.93954861283937
1015,0,0.11962204603734466
1016,0,0.14071880427392977
1017,1,0.5363448882710357
1018,0,0.12575928250003524
1019,1,0.6905996510493725
1020,0,0.12230319045973954
1021,0,0.12575928250003524
1022,0,0.15174302014109134
1023,0,0.27194975927615384
1024,0,0.09725143453651776
1025,0,0.08621574336076465
1026,0,0.11735492066672709
1027,0,0.12575928250003524
1028,0,0.1840182906593158
1029,0,0.12639416622759228
1030,0,0.44671518876958666
1031,0,0.05629184631962329
1032,0,0.1156228811356756
1033,1,0.9385509162677935
1034,0,0.27087114276186813
1035,0,0.13452079649546053
1036,0,0.2927759062488384
1037,0,0.15833163577363882
1038,0,0.1856854319598942
1039,0,0.12575928250003524
1040,0,0.2791791994858159
1041,0,0.12416966388007951
1042,1,0.9390563094180268
1043,0,0.1501708925335303
1044,0,0.08837416181648668
1045,1,0.5251102778397648
1046,0,0.11461619353180305
1047,0,0.12575928250003524
1048,1,0.928983214038775
1049,0,0.44671518876958666
1050,0,0.2927759062488384
1051,1,0.5084814546998647
1052,1,0.7268875805919691
1053,1,0.5442965251870261
1054,1,0.8928888933379348
1055,0,0.19685903347134362
1056,0,0.12230319045973954
1057,1,0.5491712439183545
1058,0,0.22618467997525538
1059,0,0.1621441755734759
1060,1,0.9240959891486277
1061,0,0.44671518876958666
1062,0,0.11962204603734466
1063,0,0.20321008918156266
1064,0,0.23380480383332541
1065,0,0.1447614762627826
1066,0,0.09643473155162531
